unique_id_num,tagging_date,unique_id,channel,tag_id,use,total_length,crew,tagger,year,date,time,date_time,flight_num,flight_day,antenna,mort,power,hits,latitude,longitude,time_frame,highest_signal,section,current_state,current_state_num,fate_detailed,fate_detailed_num,notes,tagging_location,life_history,tagging_habitat
3,9/26/2018,10-3,10,3,Y,845,"BC, HS",,2018,9/26/2018,,NA,0.1,0,NA,NA,0,0,64.9789,-150.81401,0_Tagging,NA,Lower,alive,0,dead,1, ,Lower,mainstem,mainstem
3,9/26/2018,10-3,10,3,Y,845,"BC, HS",,2019,1/27/2019,0.471759,01/27/2019 11:19:20,1,2,wing,True,255,10,64.971556,-150.588242,1_winter,True,Lower,dead,1,dead,1, ,Lower,mainstem,mainstem
3,9/26/2018,10-3,10,3,Y,845,"BC, HS",,2019,2/5/2019,0.602292,02/05/2019 14:27:18,2,1,belly,True,255,34,64.969473,-150.614354,1_winter,True,Lower,dead,1,dead,1, ,Lower,mainstem,mainstem
3,9/26/2018,10-3,10,3,Y,845,"BC, HS",,2019,4/29/2019,,4/29/2023,2.5,5,Yukon belly,True,0,0,64.971464,-150.591926,2_spring,NA,Lower,dead,1,dead,1, ,Lower,mainstem,mainstem
4,9/23/2018,10-4,10,4,Y,814,"AG, KD, MM",,2018,9/23/2018,,NA,0.1,0,NA,NA,0,0,64.91713,-151.49867,0_Tagging,NA,Lower,alive,0,dead,1, ,Lower,mainstem,mainstem
4,9/23/2018,10-4,10,4,Y,814,"AG, KD, MM",,2019,1/27/2019,0.443773,01/27/2019 10:39:02,1,2,belly,False,141,2,64.896828,-151.445244,1_winter,True,Lower,alive,0,dead,1, ,Lower,mainstem,mainstem
4,9/23/2018,10-4,10,4,Y,814,"AG, KD, MM",,2019,2/5/2019,0.585475,02/05/2019 14:03:05,2,1,belly,False,219,10,64.901424,-151.447877,1_winter,True,Lower,alive,0,dead,1, ,Lower,mainstem,mainstem
4,9/23/2018,10-4,10,4,Y,814,"AG, KD, MM",,2019,4/29/2019,,4/29/2019,2.5,5,Yukon belly,True,0,0,64.893537,-151.446524,2_spring,NA,Lower,dead,1,dead,1, ,Lower,mainstem,mainstem
4,9/23/2018,10-4,10,4,Y,814,"AG, KD, MM",,2020,2/8/2020,0.529051,02/08/2020 12:41:50,8,2,wing,True,59,2,64.889182,-151.437702,1_winter,True,Lower,dead,1,dead,1, ,Lower,mainstem,mainstem
5,9/26/2018,10-5,10,5,Y,630,"LG, DF",,2018,9/26/2018,,NA,0.1,0,NA,alive,0,0,64.9789,-150.81401,0_Tagging,NA,Lower,alive,0,alive,0, ,Lower,mainstem,mainstem
5,9/26/2018,10-5,10,5,Y,630,"LG, DF",,2019,4/29/2019,,4/29/2019,2.5,5,Yukon belly,True,0,0,65.17656,-153.070942,2_spring, ,Yukon,alive,0,alive,0, ,Lower,mainstem,mainstem
5,9/26/2018,10-5,10,5,Y,630,"LG, DF",,2019,7/2/2019,,7/2/2019,3.5,5,Yukon belly,False,0,0,64.946553,-154.387895,3_summer,NA,Yukon,alive,0,alive,0, ,Lower,mainstem,mainstem
5,9/26/2018,10-5,10,5,N,630,"LG, DF",,2019,9/8/2019,,9/8/2019 20:26,4.5,5,AMG,False,78,14,64.707781,-156.741282,4_fall,NA,Yukon,alive,0,alive,0,"Galena tracking station. These points are legit, however don't trust that this fish wasn't dying or not braindead. Only moving downriver. ",Lower,mainstem,mainstem
5,9/26/2018,10-5,10,5,N,630,"LG, DF",,2019,10/5/2019,,10/5/2019,5,5,Yukon belly,False,0,0,62.636972,-160.163152,4_fall, ,Yukon,alive,0,alive,0,"These points are legit, however don't trust that this fish wasn't dying or not braindead. Only moving downriver. ",Lower,mainstem,mainstem
6,9/24/2018,10-6,10,6,Y,645,"BC, HS",,2018,9/24/2018,,NA,0.1,0,NA,NA,0,0,64.89774,-151.26482,0_Tagging,NA,Lower,alive,0,alive,0, ,Lower,mainstem,mainstem
6,9/24/2018,10-6,10,6,Y,645,"BC, HS",,2019,1/27/2019,0.461921,01/27/2019 11:05:10,1,2,belly,False,204,5,64.967264,-150.649972,1_winter,True,Lower,alive,0,alive,0, ,Lower,mainstem,mainstem
6,9/24/2018,10-6,10,6,Y,645,"BC, HS",,2019,2/5/2019,0.603414,02/05/2019 14:28:55,2,1,belly,False,248,23,64.960186,-150.710337,1_winter,True,Lower,alive,0,alive,0, ,Lower,mainstem,mainstem
6,9/24/2018,10-6,10,6,Y,645,"BC, HS",,2019,5/19/2019,0.739317,05/19/2019 17:44:37,3,1,belly,True,69,1,65.164957,-152.011697,2_spring,True,Yukon,alive,0,alive,0, ,Lower,mainstem,mainstem
6,9/24/2018,10-6,10,6,N,645,"BC, HS",,2019,7/2/2019,,7/2/2019,3.5,5,Yukon belly,False,0,0,65.180078,-151.95241,3_summer,NA,Yukon,alive,0,alive,0,"real point, but already have one for summer",Lower,mainstem,mainstem
6,9/24/2018,10-6,10,6,Y,645,"BC, HS",,2019,7/26/2019,0.681505,07/26/2019 16:21:22,4,2,wing,False,56,5,65.160613,-151.96637,3_summer,False,Yukon,alive,0,alive,0, ,Lower,mainstem,mainstem
6,9/24/2018,10-6,10,6,N,645,"BC, HS",,2019,10/5/2019,,10/5/2019,5,5,Yukon belly,False,0,1,66.550383,-146.27031,4_fall,NA,Yukon,alive,0,fake,4,"certainly feasible, but a far swim",Lower,mainstem,mainstem
6,9/24/2018,10-6,10,6,Y,645,"BC, HS",,2019,12/18/2019,0.5086,12/18/2019 12:12:23,6,2,belly,False,85,10,64.857745,-149.757128,1_winter,True,Lower,alive,0,alive,0, ,Lower,mainstem,mainstem
6,9/24/2018,10-6,10,6,Y,645,"BC, HS",,2020,2/8/2020,0.496863,02/08/2020 11:55:29,8,2,belly,True,74,7,64.722162,-149.1499,1_winter,True,Lower,alive,0,alive,0, ,Lower,mainstem,mainstem
6,9/24/2018,10-6,10,6,Y,645,"BC, HS",,2020,5/27/2020,0.668102,05/27/2020 16:02:04,9,1,belly,False,71,2,65.161377,-151.98698,2_spring,True,Yukon,alive,0,alive,0, ,Lower,mainstem,mainstem
6,9/24/2018,10-6,10,6,Y,645,"BC, HS",,2020,7/28/2020,0.578634,07/28/2020 13:53:14,10,1,belly,False,65,5,65.15882,-151.954642,3_summer,True,Yukon,alive,0,alive,0, ,Lower,mainstem,mainstem
6,9/24/2018,10-6,10,6,Y,645,"BC, HS",,2020,10/22/2020,0.550567,10/22/2020 13:12:49,11,1,wing,False,88,12,65.025993,-151.682171,4_fall,True,Lower,alive,0,alive,0, ,Lower,mainstem,mainstem
6,9/24/2018,10-6,10,6,Y,645,"BC, HS",,2021,1/13/2021,0.523438,01/13/2021 12:33:45,12,1,right,False,52,2,64.902537,-149.568162,1_winter,True,Lower,alive,0,alive,0, ,Lower,mainstem,mainstem
6,9/24/2018,10-6,10,6,Y,645,"BC, HS",,2021,1/27/2021,0.518113,01/27/2021 12:26:05,13,2,left,False,74,8,64.719796,-149.157112,1_winter,True,Lower,alive,0,alive,0, ,Lower,mainstem,mainstem
7,9/24/2018,10-7,10,7,Y,707,"LG, RQ",,2018,9/24/2018,,NA,0.1,0,NA,NA,0,0,64.89774,-151.26482,0_Tagging,NA,Lower,alive,0,dead,1, ,Lower,mainstem,mainstem
7,9/24/2018,10-7,10,7,Y,707,"LG, RQ",,2019,1/27/2019,0.452593,01/27/2019 10:51:44,1,2,wing,True,113,1,64.90892,-151.460681,1_winter,True,Lower,dead,1,dead,1, ,Lower,mainstem,mainstem
7,9/24/2018,10-7,10,7,Y,707,"LG, RQ",,2019,2/5/2019,0.585174,02/05/2019 14:02:39,2,1,belly,True,214,2,64.911273,-151.461158,1_winter,True,Lower,dead,1,dead,1, ,Lower,mainstem,mainstem
7,9/24/2018,10-7,10,7,Y,707,"LG, RQ",,2019,5/19/2019,0.728958,05/19/2019 17:29:42,3,1,belly,True,71,1,64.907937,-151.458967,2_spring,True,Lower,dead,1,dead,1, ,Lower,mainstem,mainstem
7,9/24/2018,10-7,10,7,Y,707,"LG, RQ",,2020,1/15/2020,0.479444,01/15/2020 11:30:24,7,1,left,True,40,1,64.906865,-151.454908,1_winter,True,Lower,dead,1,dead,1, ,Lower,mainstem,mainstem
7,9/24/2018,10-7,10,7,Y,707,"LG, RQ",,2021,1/13/2021,0.547685,01/13/2021 13:08:40,12,1,left,True,67,4,64.901353,-151.451545,1_winter,False,Lower,dead,1,dead,1, ,Lower,mainstem,mainstem
8,9/24/2018,10-8,10,8,Y,717,"BC, HS",,2018,9/24/2018,,NA,0.1,0,NA,NA,0,0,64.89468,-151.25698,0_Tagging,NA,Lower,alive,0,dead,1, ,Lower,mainstem,mainstem
8,9/24/2018,10-8,10,8,Y,717,"BC, HS",,2019,5/19/2019,0.728935,05/19/2019 17:29:40,3,1,belly,True,81,1,64.907305,-151.457215,2_spring,True,Lower,dead,1,dead,1, ,Lower,mainstem,mainstem
8,9/24/2018,10-8,10,8,Y,717,"BC, HS",,2019,7/26/2019,0.671238,07/26/2019 16:06:35,4,2,wing,True,56,1,64.912257,-151.468695,3_summer,True,Lower,dead,1,dead,1, ,Lower,mainstem,mainstem
8,9/24/2018,10-8,10,8,Y,717,"BC, HS",,2019,12/18/2019,0.552234,12/18/2019 13:15:13,6,2,belly,True,85,18,64.907138,-151.455142,1_winter,True,Lower,dead,1,dead,1, ,Lower,mainstem,mainstem
8,9/24/2018,10-8,10,8,Y,717,"BC, HS",,2020,1/15/2020,0.479329,01/15/2020 11:30:14,7,1,left,True,91,24,64.903142,-151.44943,1_winter,True,Lower,dead,1,dead,1, ,Lower,mainstem,mainstem
8,9/24/2018,10-8,10,8,Y,717,"BC, HS",,2020,2/8/2020,0.529479,02/08/2020 12:42:27,8,2,wing,True,99,13,64.907213,-151.455082,1_winter,True,Lower,dead,1,dead,1, ,Lower,mainstem,mainstem
8,9/24/2018,10-8,10,8,Y,717,"BC, HS",,2020,5/27/2020,0.65713,05/27/2020 15:46:16,9,1,belly,True,57,1,64.91218,-151.466067,2_spring,True,Lower,dead,1,dead,1, ,Lower,mainstem,mainstem
8,9/24/2018,10-8,10,8,Y,717,"BC, HS",,2020,10/22/2020,0.545741,10/22/2020 13:05:52,11,1,belly,True,98,4,64.912693,-151.469053,4_fall,True,Lower,dead,1,dead,1, ,Lower,mainstem,mainstem
8,9/24/2018,10-8,10,8,Y,717,"BC, HS",,2021,1/13/2021,0.547697,01/13/2021 13:08:41,12,1,left,True,68,10,64.90179,-151.45219,1_winter,True,Lower,dead,1,dead,1, ,Lower,mainstem,mainstem
8,9/24/2018,10-8,10,8,Y,717,"BC, HS",,2021,1/27/2021,0.552211,01/27/2021 13:15:11,13,2,left,True,94,8,64.908648,-151.452491,1_winter,True,Lower,dead,1,dead,1, ,Lower,mainstem,mainstem
9,9/24/2018,10-9,10,9,Y,687,"BC, HS",,2018,9/24/2018,,NA,0.1,0,NA,NA,0,0,64.86132,-151.29437,0_Tagging,NA,Lower,alive,0,dead,1, ,Lower,mainstem,mainstem
9,9/24/2018,10-9,10,9,Y,687,"BC, HS",,2019,2/5/2019,0.590984,02/05/2019 14:11:01,2,1,wing,False,125,4,64.887244,-151.249364,1_winter,True,Lower,alive,0,dead,1, ,Lower,mainstem,mainstem
9,9/24/2018,10-9,10,9,N,687,"BC, HS",,2019,4/29/2019,,4/29/2019,2.5,5,Yukon belly,False,0,0,64.88609,-151.249789,2_spring,NA,Lower,alive,0,dead,1, ,Lower,mainstem,mainstem
9,9/24/2018,10-9,10,9,Y,687,"BC, HS",,2019,5/19/2019,0.724711,05/19/2019 17:23:35,3,1,belly,False,78,1,64.887057,-151.2798,2_spring,True,Lower,alive,0,dead,1, ,Lower,mainstem,mainstem
9,9/24/2018,10-9,10,9,Y,687,"BC, HS",,2019,7/26/2019,0.668368,07/26/2019 16:02:27,4,2,belly,False,92,6,64.873542,-151.283552,3_summer,True,Lower,alive,0,dead,1, ,Lower,mainstem,mainstem
9,9/24/2018,10-9,10,9,Y,687,"BC, HS",,2019,12/18/2019,0.536516,12/18/2019 12:52:35,6,2,belly,False,84,7,64.782568,-150.019658,1_winter,True,Lower,alive,0,dead,1, ,Lower,mainstem,mainstem
9,9/24/2018,10-9,10,9,Y,687,"BC, HS",,2020,2/8/2020,0.51162,02/08/2020 12:16:44,8,2,wing,False,68,5,64.770591,-149.877693,1_winter,True,Lower,alive,0,dead,1, ,Lower,mainstem,mainstem
9,9/24/2018,10-9,10,9,Y,687,"BC, HS",,2020,5/27/2020,0.663762,05/27/2020 15:55:49,9,1,wing,False,77,7,65.074415,-151.64502,2_spring,True,Lower,alive,0,dead,1, ,Lower,mainstem,mainstem
9,9/24/2018,10-9,10,9,Y,687,"BC, HS",,2020,7/28/2020,0.574352,07/28/2020 13:47:04,10,1,belly,True,60,10,65.082877,-151.616687,3_summer,True,Lower,dead,1,dead,1, ,Lower,mainstem,mainstem
9,9/24/2018,10-9,10,9,Y,687,"BC, HS",,2020,10/22/2020,0.551979,10/22/2020 13:14:51,11,1,belly,True,100,10,65.076105,-151.637542,4_fall,True,Lower,dead,1,dead,1, ,Lower,mainstem,mainstem
9,9/24/2018,10-9,10,9,Y,687,"BC, HS",,2021,1/13/2021,0.553669,01/13/2021 13:17:17,12,1,left,True,72,18,65.067256,-151.647458,1_winter,True,Lower,dead,1,dead,1, ,Lower,mainstem,mainstem
9,9/24/2018,10-9,10,9,Y,687,"BC, HS",,2021,1/27/2021,0.558704,01/27/2021 13:24:32,13,2,right,True,88,40,65.071397,-151.640472,1_winter,True,Lower,dead,1,dead,1, ,Lower,mainstem,mainstem
10,9/24/2018,10-10,10,10,Y,881,"BC, HS",,2018,9/24/2018,,NA,0.1,0,NA,NA,0,0,64.86132,-151.29437,0_Tagging,NA,Lower,alive,0,dead,1, ,Lower,mainstem,mainstem
10,9/24/2018,10-10,10,10,Y,881,"BC, HS",,2019,1/27/2019,0.470914,01/27/2019 11:18:07,1,2,wing,False,139,1,64.966216,-150.666998,1_winter,True,Lower,alive,0,dead,1, ,Lower,mainstem,mainstem
10,9/24/2018,10-10,10,10,Y,881,"BC, HS",,2019,2/5/2019,0.602755,02/05/2019 14:27:58,2,1,belly,False,201,9,64.968923,-150.646832,1_winter,True,Lower,alive,0,dead,1, ,Lower,mainstem,mainstem
10,9/24/2018,10-10,10,10,Y,881,"BC, HS",,2019,4/29/2019,,4/29/2019,2.5,5,Yukon belly,False,0,0,64.885873,-151.250815,2_spring,NA,Lower,alive,0,dead,1, ,Lower,mainstem,mainstem
10,9/24/2018,10-10,10,10,Y,881,"BC, HS",,2019,7/26/2019,0.674549,07/26/2019 16:11:21,4,2,wing,True,68,10,65.01857,-151.565225,3_summer,True,Lower,dead,1,dead,1, ,Lower,mainstem,mainstem
10,9/24/2018,10-10,10,10,Y,881,"BC, HS",,2019,12/18/2019,0.555324,12/18/2019 13:19:40,6,2,belly,True,76,4,65.01489,-151.559472,1_winter,True,Lower,dead,1,dead,1, ,Lower,mainstem,mainstem
10,9/24/2018,10-10,10,10,Y,881,"BC, HS",,2020,1/15/2020,0.482674,01/15/2020 11:35:03,7,1,right,True,71,8,65.014011,-151.560893,1_winter,True,Lower,dead,1,dead,1, ,Lower,mainstem,mainstem
10,9/24/2018,10-10,10,10,Y,881,"BC, HS",,2020,2/8/2020,0.532685,02/08/2020 12:47:04,8,2,belly,True,84,7,65.016797,-151.561483,1_winter,True,Lower,dead,1,dead,1, ,Lower,mainstem,mainstem
10,9/24/2018,10-10,10,10,Y,881,"BC, HS",,2020,10/22/2020,0.548715,10/22/2020 13:10:09,11,1,wing,True,56,1,65.015061,-151.559933,4_fall,True,Lower,dead,1,dead,1, ,Lower,mainstem,mainstem
11,9/21/2018,10-11,10,11,Y,661,"BC, HS",BC,2018,9/21/2018,,NA,0.1,0,NA,NA,0,0,64.97212,-150.5537,0_Tagging,NA,Lower,alive,0,dead,1, ,Lower,mainstem,mainstem
11,9/21/2018,10-11,10,11,Y,661,"BC, HS",BC,2019,1/27/2019,0.474109,01/27/2019 11:22:43,1,2,wing,False,81,2,64.940803,-150.399132,1_winter,True,Lower,alive,0,dead,1, ,Lower,mainstem,mainstem
11,9/21/2018,10-11,10,11,Y,661,"BC, HS",BC,2019,2/5/2019,0.620081,02/05/2019 14:52:55,2,1,belly,False,255,12,64.842159,-150.194103,1_winter,True,Lower,alive,0,dead,1, ,Lower,mainstem,mainstem
11,9/21/2018,10-11,10,11,Y,661,"BC, HS",BC,2019,7/26/2019,0.660104,07/26/2019 15:50:33,4,2,belly,False,57,2,64.963601,-150.660695,3_summer,True,Lower,alive,0,dead,1, ,Lower,mainstem,mainstem
11,9/21/2018,10-11,10,11,N,661,"BC, HS",BC,2019,10/5/2019,,10/5/2019,5,5,Yukon belly,True,0,0,64.968548,-150.679333,4_fall,NA,Lower,dead,1,dead,1, ,Lower,mainstem,mainstem
11,9/21/2018,10-11,10,11,Y,661,"BC, HS",BC,2019,10/17/2019,0.596516,10/17/2019 14:18:59,5,2,belly,True,71,2,64.96402,-150.692315,4_fall,True,Lower,dead,1,dead,1, ,Lower,mainstem,mainstem
11,9/21/2018,10-11,10,11,Y,661,"BC, HS",BC,2019,12/18/2019,0.544456,12/18/2019 13:04:01,6,2,wing,True,80,7,64.963593,-150.69109,1_winter,True,Lower,dead,1,dead,1, ,Lower,mainstem,mainstem
11,9/21/2018,10-11,10,11,Y,661,"BC, HS",BC,2020,1/15/2020,0.468646,01/15/2020 11:14:51,7,1,left,True,81,21,64.964168,-150.657177,1_winter,True,Lower,dead,1,dead,1, ,Lower,mainstem,mainstem
11,9/21/2018,10-11,10,11,Y,661,"BC, HS",BC,2020,2/8/2020,0.521053,02/08/2020 12:30:19,8,2,wing,True,98,14,64.96174,-150.680728,1_winter,True,Lower,dead,1,dead,1, ,Lower,mainstem,mainstem
11,9/21/2018,10-11,10,11,Y,661,"BC, HS",BC,2020,5/27/2020,0.645208,05/27/2020 15:29:06,9,1,belly,False,68,1,64.96344,-150.66842,2_spring,True,Lower,dead,1,dead,1, ,Lower,mainstem,mainstem
11,9/21/2018,10-11,10,11,Y,661,"BC, HS",BC,2020,10/22/2020,0.536667,10/22/2020 12:52:48,11,1,wing,True,88,9,64.964226,-150.669267,4_fall,True,Lower,dead,1,dead,1, ,Lower,mainstem,mainstem
11,9/21/2018,10-11,10,11,Y,661,"BC, HS",BC,2021,1/13/2021,0.538958,01/13/2021 12:56:06,12,1,left,True,87,13,64.964115,-150.66743,1_winter,True,Lower,dead,1,dead,1, ,Lower,mainstem,mainstem
11,9/21/2018,10-11,10,11,Y,661,"BC, HS",BC,2021,1/27/2021,0.543704,01/27/2021 13:02:56,13,2,left,True,75,27,64.966391,-150.679905,1_winter,True,Lower,dead,1,dead,1, ,Lower,mainstem,mainstem
12,9/21/2018,10-12,10,12,Y,704,"BC, HS",BC,2018,9/21/2018,,NA,0.1,0,NA,NA,0,0,64.97086,-150.49052,0_Tagging,NA,Lower,alive,0,dead,1, ,Lower,mainstem,mainstem
12,9/21/2018,10-12,10,12,Y,704,"BC, HS",BC,2019,1/27/2019,0.47272,01/27/2019 11:20:43,1,2,wing,False,186,7,64.973585,-150.499578,1_winter,True,Lower,alive,0,dead,1, ,Lower,mainstem,mainstem
12,9/21/2018,10-12,10,12,Y,704,"BC, HS",BC,2019,2/5/2019,0.611076,02/05/2019 14:39:57,2,1,wing,False,151,6,64.966516,-150.490364,1_winter,True,Lower,alive,0,dead,1, ,Lower,mainstem,mainstem
12,9/21/2018,10-12,10,12,Y,704,"BC, HS",BC,2019,5/19/2019,0.719225,05/19/2019 17:15:41,3,1,belly,False,78,3,64.973733,-150.799435,2_spring,True,Lower,alive,0,dead,1, ,Lower,mainstem,mainstem
12,9/21/2018,10-12,10,12,N,704,"BC, HS",BC,2019,10/5/2019,,10/5/2019,5,5,Yukon belly,Tue,0,0,64.956925,-150.563643,4_fall,NA,Lower,dead,1,dead,1, ,Lower,mainstem,mainstem
12,9/21/2018,10-12,10,12,Y,704,"BC, HS",BC,2019,10/17/2019,0.595359,10/17/2019 14:17:19,5,2,belly,True,59,1,64.972743,-150.555838,4_fall,True,Lower,dead,1,dead,1, ,Lower,mainstem,mainstem
12,9/21/2018,10-12,10,12,Y,704,"BC, HS",BC,2019,12/18/2019,0.543345,12/18/2019 13:02:25,6,2,wing,True,55,2,64.973405,-150.552208,1_winter,True,Lower,dead,1,dead,1, ,Lower,mainstem,mainstem
12,9/21/2018,10-12,10,12,Y,704,"BC, HS",BC,2020,1/15/2020,0.467616,01/15/2020 11:13:22,7,1,left,True,70,3,64.973815,-150.557607,1_winter,True,Lower,dead,1,dead,1, ,Lower,mainstem,mainstem
12,9/21/2018,10-12,10,12,Y,704,"BC, HS",BC,2020,2/8/2020,0.520116,02/08/2020 12:28:58,8,2,belly,True,88,12,64.969897,-150.572462,1_winter,True,Lower,dead,1,dead,1, ,Lower,mainstem,mainstem
12,9/21/2018,10-12,10,12,Y,704,"BC, HS",BC,2020,10/22/2020,0.535741,10/22/2020 12:51:28,11,1,belly,True,71,5,64.97117,-150.565273,4_fall,True,Lower,dead,1,dead,1, ,Lower,mainstem,mainstem
12,9/21/2018,10-12,10,12,Y,704,"BC, HS",BC,2021,1/13/2021,0.537824,01/13/2021 12:54:28,12,1,left,True,77,11,64.975041,-150.547757,1_winter,True,Lower,dead,1,dead,1, ,Lower,mainstem,mainstem
12,9/21/2018,10-12,10,12,Y,704,"BC, HS",BC,2021,1/27/2021,0.542708,01/27/2021 13:01:30,13,2,left,True,72,17,64.973145,-150.56157,1_winter,True,Lower,dead,1,dead,1, ,Lower,mainstem,mainstem
13,9/21/2018,10-13,10,13,Y,732,"BC, HS",BC,2018,9/21/2018,,NA,0.1,0,NA,NA,0,0,64.9761,-150.56204,0_Tagging,NA,Lower,alive,0,dead,1, ,Lower,mainstem,mainstem
13,9/21/2018,10-13,10,13,Y,732,"BC, HS",BC,2019,1/27/2019,0.477569,01/27/2019 11:27:42,1,2,wing,False,154,4,64.836576,-150.227404,1_winter,True,Lower,alive,0,dead,1, ,Lower,mainstem,mainstem
13,9/21/2018,10-13,10,13,Y,732,"BC, HS",BC,2019,7/26/2019,0.5736,07/26/2019 13:45:59,4,2,wing,False,80,7,64.721295,-148.155518,3_summer,True,Middle,alive,0,dead,1, ,Lower,mainstem,mainstem
13,9/21/2018,10-13,10,13,Y,732,"BC, HS",BC,2019,10/7/2019,0.427245,10/07/2019 10:15:14,5,1,belly,False,76,5,64.46513,-146.928965,4_fall,True,Middle,alive,0,dead,1, ,Lower,mainstem,mainstem
13,9/21/2018,10-13,10,13,Y,732,"BC, HS",BC,2019,12/17/2019,0.616898,12/17/2019 14:48:20,6,1,belly,True,50,1,64.471325,-146.909732,1_winter,True,Middle,dead,1,dead,1, ,Lower,mainstem,mainstem
13,9/21/2018,10-13,10,13,Y,732,"BC, HS",BC,2020,1/21/2020,0.413067,01/21/2020 09:54:49,7,2,left,True,86,19,64.471393,-146.897693,1_winter,True,Middle,dead,1,dead,1, ,Lower,mainstem,mainstem
13,9/21/2018,10-13,10,13,Y,732,"BC, HS",BC,2020,2/5/2020,0.613472,02/05/2020 14:43:24,8,1,belly,True,91,16,64.470165,-146.917758,1_winter,True,Middle,dead,1,dead,1, ,Lower,mainstem,mainstem
13,9/21/2018,10-13,10,13,Y,732,"BC, HS",BC,2020,5/28/2020,0.62772,05/28/2020 15:03:55,9,1,belly,True,73,3,64.469432,-146.924363,2_spring,True,Middle,dead,1,dead,1, ,Lower,mainstem,mainstem
13,9/21/2018,10-13,10,13,Y,732,"BC, HS",BC,2020,7/29/2020,0.604375,07/29/2020 14:30:18,10,2,belly,True,58,2,64.470288,-146.917717,3_summer,False,Middle,dead,1,dead,1, ,Lower,mainstem,mainstem
13,9/21/2018,10-13,10,13,Y,732,"BC, HS",BC,2020,11/1/2020,0.666273,11/01/2020 15:59:26,11,2,belly,True,59,4,64.470032,-146.91963,4_fall,True,Middle,dead,1,dead,1, ,Lower,mainstem,mainstem
13,9/21/2018,10-13,10,13,Y,732,"BC, HS",BC,2021,1/16/2021,0.50169,01/16/2021 12:02:26,12,2,right,True,43,1,64.474055,-146.794328,1_winter,True,Middle,dead,1,dead,1, ,Lower,mainstem,mainstem
13,9/21/2018,10-13,10,13,Y,732,"BC, HS",BC,2021,1/26/2021,0.722245,01/26/2021 17:20:02,13,1,left,False,59,4,64.47008,-146.910137,1_winter,True,Middle,dead,1,dead,1, ,Lower,mainstem,mainstem
14,9/21/2018,10-14,10,14,Y,936,"BC, HS",BC,2018,9/21/2018,,NA,0.1,0,NA,NA,0,0,64.97086,-150.49052,0_Tagging,NA,Lower,alive,0,dead,1, ,Lower,mainstem,mainstem
