helper__unique_id_num*date*lat*long,unique_id,unique_id_num,tagging_date,channel,tag_id,use,total_length,crew,tagger,year,date,time,date_time,flight_num,flight_day,antenna,mort,power,hits,latitude,longitude,time_frame,highest_signal,section,current_state,current_state_num,fate_detailed,fate_detailed_num,notes,tagging_location,life_history,tagging_habitat,spawning_use,spawning_season
6-43501-64.960186-150.710337,10-6,6,9/24/2018,10,6,Y,645,"BC, HS",,2019,2/5/2019,0.603414,2/5/2019 14:28,2,1,belly,FALSE,248,23,64.960186,-150.710337,1_winter,TRUE,Lower,alive,0,alive,0,,Lower,mainstem,mainstem,N,2018_2019
6-43604-65.164957-152.011697,10-6,6,9/24/2018,10,6,Y,645,"BC, HS",,2019,5/19/2019,0.739317,5/19/2019 17:44,3,1,belly,TRUE,69,1,65.164957,-152.011697,2_spring,TRUE,Yukon,alive,0,alive,0,,Lower,mainstem,mainstem,,
6-43648-65.180078-151.95241,10-6,6,9/24/2018,10,6,N,645,"BC, HS",,2019,7/2/2019,,7/2/2019,3.5,5,Yukon belly,FALSE,0,0,65.180078,-151.95241,3_summer,NA,Yukon,alive,0,alive,0,"real point, but already have one for summer",Lower,mainstem,mainstem,,
6-43672-65.160613-151.96637,10-6,6,9/24/2018,10,6,Y,645,"BC, HS",,2019,7/26/2019,0.681505,7/26/2019 16:21,4,2,wing,FALSE,56,5,65.160613,-151.96637,3_summer,FALSE,Yukon,alive,0,alive,0,,Lower,mainstem,mainstem,,
6-43743-66.550383-146.27031,10-6,6,9/24/2018,10,6,N,645,"BC, HS",,2019,10/5/2019,,10/5/2019,5,5,Yukon belly,FALSE,0,1,66.550383,-146.27031,4_fall,NA,Yukon,alive,0,fake,4,"certainly feasible, but a far swim",Lower,mainstem,mainstem,,
6-43817-64.857745-149.757128,10-6,6,9/24/2018,10,6,Y,645,"BC, HS",,2019,12/18/2019,0.5086,12/18/2019 12:12,6,2,belly,FALSE,85,10,64.857745,-149.757128,1_winter,TRUE,Lower,alive,0,alive,0,,Lower,mainstem,mainstem,N,2019_2020
6-43869-64.722162-149.1499,10-6,6,9/24/2018,10,6,Y,645,"BC, HS",,2020,2/8/2020,0.496863,2/8/2020 11:55,8,2,belly,TRUE,74,7,64.722162,-149.1499,1_winter,TRUE,Lower,alive,0,alive,0,,Lower,mainstem,mainstem,Y,2019_2020
6-43978-65.161377-151.98698,10-6,6,9/24/2018,10,6,Y,645,"BC, HS",,2020,5/27/2020,0.668102,5/27/2020 16:02,9,1,belly,FALSE,71,2,65.161377,-151.98698,2_spring,TRUE,Yukon,alive,0,alive,0,,Lower,mainstem,mainstem,,
6-44040-65.15882-151.954642,10-6,6,9/24/2018,10,6,Y,645,"BC, HS",,2020,7/28/2020,0.578634,7/28/2020 13:53,10,1,belly,FALSE,65,5,65.15882,-151.954642,3_summer,TRUE,Yukon,alive,0,alive,0,,Lower,mainstem,mainstem,,
6-44126-65.025993-151.682171,10-6,6,9/24/2018,10,6,Y,645,"BC, HS",,2020,10/22/2020,0.550567,10/22/2020 13:12,11,1,wing,FALSE,88,12,65.025993,-151.682171,4_fall,TRUE,Lower,alive,0,alive,0,,Lower,mainstem,mainstem,,
6-44209-64.902537-149.568162,10-6,6,9/24/2018,10,6,Y,645,"BC, HS",,2021,1/13/2021,0.523438,1/13/2021 12:33,12,1,right,FALSE,52,2,64.902537,-149.568162,1_winter,TRUE,Lower,alive,0,alive,0,,Lower,mainstem,mainstem,Y,2020_2021
6-44223-64.719796-149.157112,10-6,6,9/24/2018,10,6,Y,645,"BC, HS",,2021,1/27/2021,0.518113,1/27/2021 12:26,13,2,left,FALSE,74,8,64.719796,-149.157112,1_winter,TRUE,Lower,alive,0,alive,0,,Lower,mainstem,mainstem,N,2020_2021
7-43367-64.89774-151.26482,10-7,7,9/24/2018,10,7,Y,707,"LG, RQ",,2018,9/24/2018,,NA,0.1,0,NA,NA,0,0,64.89774,-151.26482,0_Tagging,NA,Lower,alive,0,dead,1,,Lower,mainstem,mainstem,,
7-43492-64.90892-151.460681,10-7,7,9/24/2018,10,7,Y,707,"LG, RQ",,2019,1/27/2019,0.452593,1/27/2019 10:51,1,2,wing,TRUE,113,1,64.90892,-151.460681,1_winter,TRUE,Lower,dead,1,dead,1,,Lower,mainstem,mainstem,Y,2018_2019
7-43501-64.911273-151.461158,10-7,7,9/24/2018,10,7,Y,707,"LG, RQ",,2019,2/5/2019,0.585174,2/5/2019 14:02,2,1,belly,TRUE,214,2,64.911273,-151.461158,1_winter,TRUE,Lower,dead,1,dead,1,,Lower,mainstem,mainstem,N,2018_2019
7-43604-64.907937-151.458967,10-7,7,9/24/2018,10,7,Y,707,"LG, RQ",,2019,5/19/2019,0.728958,5/19/2019 17:29,3,1,belly,TRUE,71,1,64.907937,-151.458967,2_spring,TRUE,Lower,dead,1,dead,1,,Lower,mainstem,mainstem,,
7-43845-64.906865-151.454908,10-7,7,9/24/2018,10,7,Y,707,"LG, RQ",,2020,1/15/2020,0.479444,1/15/2020 11:30,7,1,left,TRUE,40,1,64.906865,-151.454908,1_winter,TRUE,Lower,dead,1,dead,1,,Lower,mainstem,mainstem,N,2019_2020
7-44209-64.901353-151.451545,10-7,7,9/24/2018,10,7,Y,707,"LG, RQ",,2021,1/13/2021,0.547685,1/13/2021 13:08,12,1,left,TRUE,67,4,64.901353,-151.451545,1_winter,FALSE,Lower,dead,1,dead,1,,Lower,mainstem,mainstem,N,2020_2021
8-43367-64.89468-151.25698,10-8,8,9/24/2018,10,8,Y,717,"BC, HS",,2018,9/24/2018,,NA,0.1,0,NA,NA,0,0,64.89468,-151.25698,0_Tagging,NA,Lower,alive,0,dead,1,,Lower,mainstem,mainstem,,
8-43604-64.907305-151.457215,10-8,8,9/24/2018,10,8,Y,717,"BC, HS",,2019,5/19/2019,0.728935,5/19/2019 17:29,3,1,belly,TRUE,81,1,64.907305,-151.457215,2_spring,TRUE,Lower,dead,1,dead,1,,Lower,mainstem,mainstem,,
8-43672-64.912257-151.468695,10-8,8,9/24/2018,10,8,Y,717,"BC, HS",,2019,7/26/2019,0.671238,7/26/2019 16:06,4,2,wing,TRUE,56,1,64.912257,-151.468695,3_summer,TRUE,Lower,dead,1,dead,1,,Lower,mainstem,mainstem,,
8-43817-64.907138-151.455142,10-8,8,9/24/2018,10,8,Y,717,"BC, HS",,2019,12/18/2019,0.552234,12/18/2019 13:15,6,2,belly,TRUE,85,18,64.907138,-151.455142,1_winter,TRUE,Lower,dead,1,dead,1,,Lower,mainstem,mainstem,N,2019_2020
8-43845-64.903142-151.44943,10-8,8,9/24/2018,10,8,Y,717,"BC, HS",,2020,1/15/2020,0.479329,1/15/2020 11:30,7,1,left,TRUE,91,24,64.903142,-151.44943,1_winter,TRUE,Lower,dead,1,dead,1,,Lower,mainstem,mainstem,N,2019_2020
8-43869-64.907213-151.455082,10-8,8,9/24/2018,10,8,Y,717,"BC, HS",,2020,2/8/2020,0.529479,2/8/2020 12:42,8,2,wing,TRUE,99,13,64.907213,-151.455082,1_winter,TRUE,Lower,dead,1,dead,1,,Lower,mainstem,mainstem,N,2019_2020
8-43978-64.91218-151.466067,10-8,8,9/24/2018,10,8,Y,717,"BC, HS",,2020,5/27/2020,0.65713,5/27/2020 15:46,9,1,belly,TRUE,57,1,64.91218,-151.466067,2_spring,TRUE,Lower,dead,1,dead,1,,Lower,mainstem,mainstem,,
8-44126-64.912693-151.469053,10-8,8,9/24/2018,10,8,Y,717,"BC, HS",,2020,10/22/2020,0.545741,10/22/2020 13:05,11,1,belly,TRUE,98,4,64.912693,-151.469053,4_fall,TRUE,Lower,dead,1,dead,1,,Lower,mainstem,mainstem,,
8-44209-64.90179-151.45219,10-8,8,9/24/2018,10,8,Y,717,"BC, HS",,2021,1/13/2021,0.547697,1/13/2021 13:08,12,1,left,TRUE,68,10,64.90179,-151.45219,1_winter,TRUE,Lower,dead,1,dead,1,,Lower,mainstem,mainstem,N,2020_2021
8-44223-64.908648-151.452491,10-8,8,9/24/2018,10,8,Y,717,"BC, HS",,2021,1/27/2021,0.552211,1/27/2021 13:15,13,2,left,TRUE,94,8,64.908648,-151.452491,1_winter,TRUE,Lower,dead,1,dead,1,,Lower,mainstem,mainstem,N,2020_2021
9-43367-64.86132-151.29437,10-9,9,9/24/2018,10,9,Y,687,"BC, HS",,2018,9/24/2018,,NA,0.1,0,NA,NA,0,0,64.86132,-151.29437,0_Tagging,NA,Lower,alive,0,dead,1,,Lower,mainstem,mainstem,,
9-43501-64.887244-151.249364,10-9,9,9/24/2018,10,9,Y,687,"BC, HS",,2019,2/5/2019,0.590984,2/5/2019 14:11,2,1,wing,FALSE,125,4,64.887244,-151.249364,1_winter,TRUE,Lower,alive,0,dead,1,,Lower,mainstem,mainstem,Y,2018_2019
9-43584-64.88609-151.249789,10-9,9,9/24/2018,10,9,N,687,"BC, HS",,2019,4/29/2019,,4/29/2019,2.5,5,Yukon belly,FALSE,0,0,64.88609,-151.249789,2_spring,NA,Lower,alive,0,dead,1,,Lower,mainstem,mainstem,,
9-43604-64.887057-151.2798,10-9,9,9/24/2018,10,9,Y,687,"BC, HS",,2019,5/19/2019,0.724711,5/19/2019 17:23,3,1,belly,FALSE,78,1,64.887057,-151.2798,2_spring,TRUE,Lower,alive,0,dead,1,,Lower,mainstem,mainstem,,
9-43672-64.873542-151.283552,10-9,9,9/24/2018,10,9,Y,687,"BC, HS",,2019,7/26/2019,0.668368,7/26/2019 16:02,4,2,belly,FALSE,92,6,64.873542,-151.283552,3_summer,TRUE,Lower,alive,0,dead,1,,Lower,mainstem,mainstem,,
9-43817-64.782568-150.019658,10-9,9,9/24/2018,10,9,Y,687,"BC, HS",,2019,12/18/2019,0.536516,12/18/2019 12:52,6,2,belly,FALSE,84,7,64.782568,-150.019658,1_winter,TRUE,Lower,alive,0,dead,1,,Lower,mainstem,mainstem,N,2019_2020
9-43869-64.770591-149.877693,10-9,9,9/24/2018,10,9,Y,687,"BC, HS",,2020,2/8/2020,0.51162,2/8/2020 12:16,8,2,wing,FALSE,68,5,64.770591,-149.877693,1_winter,TRUE,Lower,alive,0,dead,1,,Lower,mainstem,mainstem,Y,2019_2020
9-43978-65.074415-151.64502,10-9,9,9/24/2018,10,9,Y,687,"BC, HS",,2020,5/27/2020,0.663762,5/27/2020 15:55,9,1,wing,FALSE,77,7,65.074415,-151.64502,2_spring,TRUE,Lower,alive,0,dead,1,,Lower,mainstem,mainstem,,
9-44040-65.082877-151.616687,10-9,9,9/24/2018,10,9,Y,687,"BC, HS",,2020,7/28/2020,0.574352,7/28/2020 13:47,10,1,belly,TRUE,60,10,65.082877,-151.616687,3_summer,TRUE,Lower,dead,1,dead,1,,Lower,mainstem,mainstem,,
9-44126-65.076105-151.637542,10-9,9,9/24/2018,10,9,Y,687,"BC, HS",,2020,10/22/2020,0.551979,10/22/2020 13:14,11,1,belly,TRUE,100,10,65.076105,-151.637542,4_fall,TRUE,Lower,dead,1,dead,1,,Lower,mainstem,mainstem,,
9-44209-65.067256-151.647458,10-9,9,9/24/2018,10,9,Y,687,"BC, HS",,2021,1/13/2021,0.553669,1/13/2021 13:17,12,1,left,TRUE,72,18,65.067256,-151.647458,1_winter,TRUE,Lower,dead,1,dead,1,,Lower,mainstem,mainstem,N,2020_2021
9-44223-65.071397-151.640472,10-9,9,9/24/2018,10,9,Y,687,"BC, HS",,2021,1/27/2021,0.558704,1/27/2021 13:24,13,2,right,TRUE,88,40,65.071397,-151.640472,1_winter,TRUE,Lower,dead,1,dead,1,,Lower,mainstem,mainstem,N,2020_2021
10-43367-64.86132-151.29437,10-10,10,9/24/2018,10,10,Y,881,"BC, HS",,2018,9/24/2018,,NA,0.1,0,NA,NA,0,0,64.86132,-151.29437,0_Tagging,NA,Lower,alive,0,dead,1,,Lower,mainstem,mainstem,,
10-43492-64.966216-150.666998,10-10,10,9/24/2018,10,10,Y,881,"BC, HS",,2019,1/27/2019,0.470914,1/27/2019 11:18,1,2,wing,FALSE,139,1,64.966216,-150.666998,1_winter,TRUE,Lower,alive,0,dead,1,,Lower,mainstem,mainstem,Y,2018_2019
10-43501-64.968923-150.646832,10-10,10,9/24/2018,10,10,Y,881,"BC, HS",,2019,2/5/2019,0.602755,2/5/2019 14:27,2,1,belly,FALSE,201,9,64.968923,-150.646832,1_winter,TRUE,Lower,alive,0,dead,1,,Lower,mainstem,mainstem,N,2018_2019
10-43584-64.885873-151.250815,10-10,10,9/24/2018,10,10,Y,881,"BC, HS",,2019,4/29/2019,,4/29/2019,2.5,5,Yukon belly,FALSE,0,0,64.885873,-151.250815,2_spring,NA,Lower,alive,0,dead,1,,Lower,mainstem,mainstem,,
10-43672-65.01857-151.565225,10-10,10,9/24/2018,10,10,Y,881,"BC, HS",,2019,7/26/2019,0.674549,7/26/2019 16:11,4,2,wing,TRUE,68,10,65.01857,-151.565225,3_summer,TRUE,Lower,dead,1,dead,1,,Lower,mainstem,mainstem,,
10-43817-65.01489-151.559472,10-10,10,9/24/2018,10,10,Y,881,"BC, HS",,2019,12/18/2019,0.555324,12/18/2019 13:19,6,2,belly,TRUE,76,4,65.01489,-151.559472,1_winter,TRUE,Lower,dead,1,dead,1,,Lower,mainstem,mainstem,Y,2019_2020
10-43845-65.014011-151.560893,10-10,10,9/24/2018,10,10,Y,881,"BC, HS",,2020,1/15/2020,0.482674,1/15/2020 11:35,7,1,right,TRUE,71,8,65.014011,-151.560893,1_winter,TRUE,Lower,dead,1,dead,1,,Lower,mainstem,mainstem,N,2019_2020
10-43869-65.016797-151.561483,10-10,10,9/24/2018,10,10,Y,881,"BC, HS",,2020,2/8/2020,0.532685,2/8/2020 12:47,8,2,belly,TRUE,84,7,65.016797,-151.561483,1_winter,TRUE,Lower,dead,1,dead,1,,Lower,mainstem,mainstem,N,2019_2020
10-44126-65.015061-151.559933,10-10,10,9/24/2018,10,10,Y,881,"BC, HS",,2020,10/22/2020,0.548715,10/22/2020 13:10,11,1,wing,TRUE,56,1,65.015061,-151.559933,4_fall,TRUE,Lower,dead,1,dead,1,,Lower,mainstem,mainstem,,
11-43364-64.97212-150.5537,10-11,11,9/21/2018,10,11,Y,661,"BC, HS",BC,2018,9/21/2018,,NA,0.1,0,NA,NA,0,0,64.97212,-150.5537,0_Tagging,NA,Lower,alive,0,dead,1,,Lower,mainstem,mainstem,,
11-43492-64.940803-150.399132,10-11,11,9/21/2018,10,11,Y,661,"BC, HS",BC,2019,1/27/2019,0.474109,1/27/2019 11:22,1,2,wing,FALSE,81,2,64.940803,-150.399132,1_winter,TRUE,Lower,alive,0,dead,1,,Lower,mainstem,mainstem,N,2018_2019
11-43501-64.842159-150.194103,10-11,11,9/21/2018,10,11,Y,661,"BC, HS",BC,2019,2/5/2019,0.620081,2/5/2019 14:52,2,1,belly,FALSE,255,12,64.842159,-150.194103,1_winter,TRUE,Lower,alive,0,dead,1,,Lower,mainstem,mainstem,Y,2018_2019
11-43672-64.963601-150.660695,10-11,11,9/21/2018,10,11,Y,661,"BC, HS",BC,2019,7/26/2019,0.660104,7/26/2019 15:50,4,2,belly,FALSE,57,2,64.963601,-150.660695,3_summer,TRUE,Lower,alive,0,dead,1,,Lower,mainstem,mainstem,,
11-43743-64.968548-150.679333,10-11,11,9/21/2018,10,11,N,661,"BC, HS",BC,2019,10/5/2019,,10/5/2019,5,5,Yukon belly,TRUE,0,0,64.968548,-150.679333,4_fall,NA,Lower,dead,1,dead,1,,Lower,mainstem,mainstem,,
11-43755-64.96402-150.692315,10-11,11,9/21/2018,10,11,Y,661,"BC, HS",BC,2019,10/17/2019,0.596516,10/17/2019 14:18,5,2,belly,TRUE,71,2,64.96402,-150.692315,4_fall,TRUE,Lower,dead,1,dead,1,,Lower,mainstem,mainstem,,
11-43817-64.963593-150.69109,10-11,11,9/21/2018,10,11,Y,661,"BC, HS",BC,2019,12/18/2019,0.544456,12/18/2019 13:04,6,2,wing,TRUE,80,7,64.963593,-150.69109,1_winter,TRUE,Lower,dead,1,dead,1,,Lower,mainstem,mainstem,Y,2019_2020
11-43845-64.964168-150.657177,10-11,11,9/21/2018,10,11,Y,661,"BC, HS",BC,2020,1/15/2020,0.468646,1/15/2020 11:14,7,1,left,TRUE,81,21,64.964168,-150.657177,1_winter,TRUE,Lower,dead,1,dead,1,,Lower,mainstem,mainstem,N,2019_2020
11-43869-64.96174-150.680728,10-11,11,9/21/2018,10,11,Y,661,"BC, HS",BC,2020,2/8/2020,0.521053,2/8/2020 12:30,8,2,wing,TRUE,98,14,64.96174,-150.680728,1_winter,TRUE,Lower,dead,1,dead,1,,Lower,mainstem,mainstem,N,2019_2020
11-43978-64.96344-150.66842,10-11,11,9/21/2018,10,11,Y,661,"BC, HS",BC,2020,5/27/2020,0.645208,5/27/2020 15:29,9,1,belly,FALSE,68,1,64.96344,-150.66842,2_spring,TRUE,Lower,dead,1,dead,1,,Lower,mainstem,mainstem,,
11-44126-64.964226-150.669267,10-11,11,9/21/2018,10,11,Y,661,"BC, HS",BC,2020,10/22/2020,0.536667,10/22/2020 12:52,11,1,wing,TRUE,88,9,64.964226,-150.669267,4_fall,TRUE,Lower,dead,1,dead,1,,Lower,mainstem,mainstem,,
11-44209-64.964115-150.66743,10-11,11,9/21/2018,10,11,Y,661,"BC, HS",BC,2021,1/13/2021,0.538958,1/13/2021 12:56,12,1,left,TRUE,87,13,64.964115,-150.66743,1_winter,TRUE,Lower,dead,1,dead,1,,Lower,mainstem,mainstem,N,2020_2021
11-44223-64.966391-150.679905,10-11,11,9/21/2018,10,11,Y,661,"BC, HS",BC,2021,1/27/2021,0.543704,1/27/2021 13:02,13,2,left,TRUE,75,27,64.966391,-150.679905,1_winter,TRUE,Lower,dead,1,dead,1,,Lower,mainstem,mainstem,N,2020_2021
12-43364-64.97086-150.49052,10-12,12,9/21/2018,10,12,Y,704,"BC, HS",BC,2018,9/21/2018,,NA,0.1,0,NA,NA,0,0,64.97086,-150.49052,0_Tagging,NA,Lower,alive,0,dead,1,,Lower,mainstem,mainstem,,
12-43492-64.973585-150.499578,10-12,12,9/21/2018,10,12,Y,704,"BC, HS",BC,2019,1/27/2019,0.47272,1/27/2019 11:20,1,2,wing,FALSE,186,7,64.973585,-150.499578,1_winter,TRUE,Lower,alive,0,dead,1,,Lower,mainstem,mainstem,Y,2018_2019
12-43501-64.966516-150.490364,10-12,12,9/21/2018,10,12,Y,704,"BC, HS",BC,2019,2/5/2019,0.611076,2/5/2019 14:39,2,1,wing,FALSE,151,6,64.966516,-150.490364,1_winter,TRUE,Lower,alive,0,dead,1,,Lower,mainstem,mainstem,N,2018_2019
12-43604-64.973733-150.799435,10-12,12,9/21/2018,10,12,Y,704,"BC, HS",BC,2019,5/19/2019,0.719225,5/19/2019 17:15,3,1,belly,FALSE,78,3,64.973733,-150.799435,2_spring,TRUE,Lower,alive,0,dead,1,,Lower,mainstem,mainstem,,
12-43743-64.956925-150.563643,10-12,12,9/21/2018,10,12,N,704,"BC, HS",BC,2019,10/5/2019,,10/5/2019,5,5,Yukon belly,Tue,0,0,64.956925,-150.563643,4_fall,NA,Lower,dead,1,dead,1,,Lower,mainstem,mainstem,,
12-43755-64.972743-150.555838,10-12,12,9/21/2018,10,12,Y,704,"BC, HS",BC,2019,10/17/2019,0.595359,10/17/2019 14:17,5,2,belly,TRUE,59,1,64.972743,-150.555838,4_fall,TRUE,Lower,dead,1,dead,1,,Lower,mainstem,mainstem,,
12-43817-64.973405-150.552208,10-12,12,9/21/2018,10,12,Y,704,"BC, HS",BC,2019,12/18/2019,0.543345,12/18/2019 13:02,6,2,wing,TRUE,55,2,64.973405,-150.552208,1_winter,TRUE,Lower,dead,1,dead,1,,Lower,mainstem,mainstem,Y,2019_2020
